[vert.x-eventloop-thread-0] 2019-07-21T01:58:46.795+02:00 INFO [io.swagger.server.api.MainApiVerticle]  Verticles : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:46.851+02:00 INFO [io.swagger.server.api.MainApiVerticle]  ChargeFeeApiVerticle : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:46.851+02:00 INFO [io.swagger.server.api.MainApiVerticle]  DisableAccountApiVerticle : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:46.851+02:00 INFO [io.swagger.server.api.MainApiVerticle]  CheckBalanceApiVerticle : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:46.852+02:00 INFO [io.swagger.server.api.MainApiVerticle]  EndParkingApiVerticle : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:46.852+02:00 INFO [io.swagger.server.api.MainApiVerticle]  RegisterAccountApiVerticle : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:46.852+02:00 INFO [io.swagger.server.api.MainApiVerticle]  RegisterPaymentApiVerticle : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:46.852+02:00 INFO [io.swagger.server.api.MainApiVerticle]  RetrieveAccountApiVerticle : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:46.853+02:00 INFO [io.swagger.server.api.MainApiVerticle]  SetRateApiVerticle : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:46.853+02:00 INFO [io.swagger.server.api.MainApiVerticle]  StartParkingApiVerticle : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:46.853+02:00 INFO [io.swagger.server.api.MainApiVerticle]  ValidateAccountApiVerticle : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:47.663+02:00 INFO [io.swagger.server.api.MainApiVerticle]  SwaggerJson : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:47.681+02:00 INFO [io.swagger.server.api.MainApiVerticle]  SwaggerUi : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:48.066+02:00 INFO [io.swagger.server.api.MainApiVerticle]  SwaggerRouter : Deployed
[vert.x-eventloop-thread-0] 2019-07-21T01:58:48.066+02:00 INFO [io.swagger.server.api.MainApiVerticle]  MainApiVerticle : Deployed
