"ClientId";"FirstName";"LastName";"PESEL";"Login_LoginId";"Vehicle_VehicleId"
6;"JAN";"NOWAK";"41796481720";1001;1001
7;"STANIS£AW";"KOWALSKI";"42346059234";1002;1002
8;"PIOTR";"WIåNIEWSKI";"43469627004";1003;1003
9;"ANDRZEJ";"W”JCIK";"55146157645";1004;1004
10;"KRZYSZTOF";"KOWALCZYK";"66493617688";1005;1005
11;"J”ZEF";"KAMI—SKI";"40463207456";1006;1006
12;"TOMASZ";"LEWANDOWSKI";"45591914899";1007;1007
13;"PAWE£";"ZIELI—SKI";"86182007348";1008;1008
14;"MICHA£";"SZYMA—SKI";"68392247909";1009;1009
15;"ADAM";"WOèNIAK";"78575483847";1010;1010
16;"TADEUSZ";"D•BROWSKI";"69151686320";1011;1011
17;"MARCIN";"KOZ£OWSKI";"83593743952";1012;1012
18;"MAREK";"MAZUR";"66578689357";1013;1013
19;"JERZY";"JANKOWSKI";"60165917698";1014;1014
20;"GRZEGORZ";"KWIATKOWSKI";"55853431196";1015;1015
21;"JAKUB";"WOJCIECHOWSKI";"47494833111";1016;1016
22;"HENRYK";"KRAWCZYK";"50546708568";1017;1017
23;"ZBIGNIEW";"KACZMAREK";"43254984067";1018;1018
24;"£UKASZ";"PIOTROWSKI";"46441219626";1019;1019
25;"KAZIMIERZ";"GRABOWSKI";"54910232851";1020;1020
26;"WOJCIECH";"ZAJ•C";"90728927136";1021;1021
27;"MATEUSZ";"PAW£OWSKI";"57599595972";1022;1022
28;"RYSZARD";"KR”L";"47483490243";1023;1023
29;"MARIAN";"MICHALSKI";"77997605027";1024;1024
30;"DARIUSZ";"WR”BEL";"86549174288";1025;1025
31;"W£ADYS£AW";"WIECZOREK";"73615013603";1026;1026
32;"MARIUSZ";"JAB£O—SKI";"81846469899";1027;1027
33;"FRANCISZEK";"NOWAKOWSKI";"48898275517";1028;1028
34;"ANTONI";"MAJEWSKI";"72980048063";1029;1029
35;"ROBERT";"OLSZEWSKI";"60647681390";1030;1030
36;"MACIEJ";"DUDEK";"60938603779";1031;1031
37;"RAFA£";"ST PIE—";"90700559839";1032;1032
38;"JACEK";"JAWORSKI";"56660813588";1033;1033
39;"JANUSZ";"ADAMCZYK";"80445717981";1034;1034
40;"KAMIL";"MALINOWSKI";"60555737718";1035;1035
41;"ROMAN";"G”RSKI";"85732689317";1036;1036
42;"DAWID";"PAWLAK";"77373048925";1037;1037
43;"MIROS£AW";"NOWICKI";"71585943131";1038;1038
44;"SZYMON";"SIKORA";"81852087107";1039;1039
45;"EDWARD";"WITKOWSKI";"71355890374";1040;1040
46;"MIECZYS£AW";"RUTKOWSKI";"40121009823";1041;1041
47;"KACPER";"WALCZAK";"62230455446";1042;1042
48;"S£AWOMIR";"BARAN";"75521630282";1043;1043
49;"JAROS£AW";"MICHALAK";"51490398244";1044;1044
50;"WIES£AW";"SZEWCZYK";"85575554906";1045;1045
51;"CZES£AW";"OSTROWSKI";"90386182744";1046;1046
52;"BARTOSZ";"TOMASZEWSKI";"73374181797";1047;1047
53;"ZDZIS£AW";"ZALEWSKI";"86499760245";1048;1048
54;"STEFAN";"WR”BLEWSKI";"68816311488";1049;1049
55;"ARTUR";"PIETRZAK";"88434346202";1050;1050
56;"KAROL";"JASI—SKI";"74817330767";1051;1051
57;"ALEKSANDER";"MARCINIAK";"54715628731";1052;1052
58;"SEBASTIAN";"SADOWSKI";"59227529771";1053;1053
59;"DAMIAN";"B•K";"62203144932";1054;1054
60;"PATRYK";"ZAWADZKI";"46843658401";1055;1055
61;"DANIEL";"DUDA";"56795781052";1056;1056
62;"PRZEMYS£AW";"JAKUBOWSKI";"84824916294";1057;1057
63;"EUGENIUSZ";"WILK";"70600374694";1058;1058
64;"ZYGMUNT";"CHMIELEWSKI";"49378664907";1059;1059
65;"FILIP";"BORKOWSKI";"50239019164";1060;1060
66;"LESZEK";"W£ODARCZYK";"40561895954";1061;1061
67;"ADRIAN";"SOKO£OWSKI";"78135116597";1062;1062
68;"WALDEMAR";"SZCZEPA—SKI";"69557427609";1063;1063
69;"ARKADIUSZ";"SAWICKI";"47910628440";1064;1064
70;"BOGDAN";"LIS";"68450072700";1065;1065
71;"MIKO£AJ";"KUCHARSKI";"65245156126";1066;1066
